identifier,att_GoodForKids,att_RestaurantsGoodForGroups,att_OutdoorSeating,att_RestaurantsReservations,att_HasAlcohol,att_RestaurantsTableService,meal_dinner,meal_lunch,amb_target
8lQ9RGzgfn36qfKMFCdA-Q|Jason's Deli,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0
mS9Kym1PEAlC2QDUAExSpA|Nida's Thai on High,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0
GFhYrFzK7Cg_y4o9jZ4i_w|Lifestyle Cafe,,,1.0,,,0.0,,,
3ygQ1V48tjziHMUF7sUS4A|Market & Boar,1.0,1.0,1.0,1.0,0.0,,,1.0,1.0
aLRTxC2Gv63u4Be2SKrySw|Taco Bell,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
SWqTdAJAOkoXU_8qd5MxSQ|Starbucks,,,1.0,,,,,,
WOxE6MFlJWkzNJgZ77xORg|Arby's,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0
PFkIjSBhk4G_U36qtXT7eA|Raising Cane's Chicken Fingers,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MJ40e9JK_Tz8YRAxht0oOw|Cattleman's Pizza,1.0,1.0,,0.0,0.0,,,,2.0
k-m-mMo6P6QA93Kpz8QtEA|Buckeye Crazy,,1.0,1.0,0.0,1.0,,,,2.0
vjabeAhZ_mKKKy_QXjGe6g|Grandview Diner,1.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0
vjNH6nYD1AZJqic6Uuk2Kg|Mickey's,,1.0,0.0,0.0,1.0,,,,1.0
7vyyvzPRed-gC5cl6nb8Tw|Long John Silver's,,,,,,,,,2.0
0BlJNW8VX3OvxSY0uhlYbg|Whole Foods Market,1.0,,,,1.0,,,,
97NaPNCatJzWcxIgUXkDIg|Urban Meyer's Pint House,,,,1.0,1.0,1.0,0.0,0.0,
vcIkVsW3MsHiHraE5aWwnA|Papa John's Pizza,1.0,1.0,,1.0,,,,,
TcXa206tgNQaMJw2WyoKaw|Ajumama,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,3.0
XAGbZbLIeGoWNyntvZzLqw|Burger King,,0.0,0.0,0.0,0.0,,,,
95F-8XlR2OGNHmERopnOxg|Marco's Pizza,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
tnCJeVBfKb8h3Szb9WXkeg|Giant Eagle Market District,,,1.0,,,,,,0.0
L5te05mXhJIqJag5TpO5mA|Iguanas Mexican Restaurant & Bar,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0
C6QtjWdoEc6AXVUGXjhDqQ|The Big Bar & Grill,0.0,1.0,1.0,1.0,1.0,,,,1.0
MVptHS8sa0EGOJ-6X1-ssw|J. Alexander's Restaurant,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
iwBdhCKScK8SSQFtGxo51A|Golden Chopsticks,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0
4VOIGEwVAv37nQIG8iUQlg|Dahlia Bar & Lounge,,1.0,1.0,1.0,1.0,,,,0.0
5TszzBA2Dit06F2HdikRBQ|Roosters,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
3_6NGgaYiUcQTwpNd9WgHw|Little Caesars Pizza,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GcrfNWwvsMFLFPgMZC07Ew|Tavern At The Creek,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
W-gTke7yS_HNne2gOzu6yQ|Old Bag of Nails,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,
NIVOB2GkD53kM0OxfiGKjQ|Brew - Stirs on 23,,1.0,1.0,0.0,1.0,,,,0.0
jyb3G5ttjOE0nubKjuDLrg|Popeyes Louisiana Kitchen,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0
0ueUvE8ujIelzfjYVRuqiA|Cousin Vinny's Pizza,1.0,1.0,0.0,0.0,0.0,,1.0,,1.0
MU3mtMwFrpfI199NlhTPSw|Drelyse African Restaurant,1.0,1.0,1.0,0.0,1.0,,1.0,,3.0
dv4-gRFUF2bGEqjSxIVHpw|Wendy's,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0
BrJd8Zq8LYuPyEWKeUr02w|Ange's Pizza,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kMS4fW_YjVv6O1pN01rkHA|Grandview Yard GetGo,1.0,0.0,,0.0,,,,,
hworjkxF89YHs7K-qDbQew|Starbucks,,,1.0,,,,,,
n-MgG7TotpCGwz47bMN2dQ|Z's Asian Bistro,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,
2y5FRmYIzeZlSV_04WIORQ|Waffle House,1.0,1.0,,0.0,0.0,,,,
BOW-dnr_zA-PVosIdrgbOg|The Daily Growler,,1.0,1.0,1.0,1.0,,,,0.0
l-Ir_43TeQrWdlJAoWa5hA|Starbucks,,,1.0,,,,,,
TzKFGVDK3OABk9xeZaDcXQ|Marino's Seafood,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0
ibu_o2bWM7xqvghaU9gL3w|Caffé DaVinci,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0
WXhGGq30Oai0xzbsrW_jxg|Dan the Baker,1.0,0.0,0.0,0.0,0.0,,,,0.0
IuXMZPgNgjetmueLxvhYfw|Dunkin',,,1.0,,,,0.0,0.0,
KCl8BmcHa6Tgw48C0miNGg|Club 185,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0
ZFLcXPoeS0zER7UrIWAebg|Arby's,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
7sAxKyItCMHnWZxC8ueCTA|First Watch,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0
7NM-Y5uHaeSvMthcKuJXxw|Noodles & Company,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
whPx99h_Pu8edUXD_7uDDw|Robey's Sports Pub & Patio,1.0,1.0,1.0,1.0,1.0,,,,0.0
sKhMVvu8rffZPubt1nNtqQ|Dick's Den,0.0,1.0,1.0,0.0,1.0,,,,1.0
a6qYvoLF4Zr2Xb1xK95Alw|Valters at the Maennerchor,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
HCtHE8Hu9RhWNfO5B_I2Sg|Hoggy's Restaurant and Catering,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0
eKjFqhKwJOHAE5MXS5odiA|Funny Bone Comedy Club and Restaurant,,1.0,0.0,,1.0,,,,
NSiqQxUyJkLGaozSnU6fPg|Tony's Italian Ristoriante,0.0,1.0,1.0,1.0,1.0,,1.0,,2.0
x0fw-ITTDN9PS_lsqkqZLA|Sonic Drive-In,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
W_dsCGcdEaYAEl6H-i6_DA|Pastimes,,1.0,1.0,0.0,1.0,,,,1.0
JPjHWk7Tm14zPfaDQSdKvQ|Taft's Brewpourium Columbus,1.0,,1.0,0.0,1.0,0.0,,,
-Zl7DGEl_dQnjJIhnGG_-w|Wingstop,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
uCwFk5GqopPiPwQuOybuaA|Hai Poké,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
wwuv7koL2KhXpzb7U3p1Wg|Milestone 229,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0
BgvAQxthp4TwgmESg_XOaQ|hishams food,,,,,,,0.0,0.0,
bfJ3lZe4Wr6BT5ZTmsh_TA|Donatos Pizza,1.0,1.0,1.0,0.0,1.0,,,,0.0
PM8V2f-XUi7KYxNS8Im9Gw|Golden China,1.0,1.0,0.0,0.0,0.0,,,,0.0
EgNlTo2HTRp0yDAWS7vnEQ|Massey's Pizza,1.0,1.0,0.0,0.0,0.0,,,,0.0
7wCjkn6ZaVkJ5_SDTrtGow|La Tavola,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0
schfad1zFNy-GkSwwPQywg|Taco Bell,1.0,1.0,,0.0,,,,,0.0
e-h7fPzNFCcb7QEHZE8tog|Potbelly Sandwich Shop,1.0,1.0,0.0,0.0,0.0,0.0,,,
w_pMID6wgiRp22z_HapbEQ|The Roosevelt Coffeehouse,,,1.0,,,,,,
OtsbWmRMGbP0Dztcz_ERlg|Burgerim,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,
8OHKWjsXCKysmQa7o5yERg|Mirchi Columbus,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0
KiP4ccYsp9HQqPNLMMmXLQ|Canabar,0.0,1.0,1.0,0.0,1.0,,,,0.0
OmvW75Ntc7xzlIQaDJy93w|Frisch's Big Boy,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0
qlPLrxQeE2uYXnaIEgusIg|Taco Bell,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
YLMEpH75tMApw-5JhiD2WA|Barroluco Argentine Comfort Food,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OG_a7gH5GA7Nr2BNMMa_Aw|McDonald's,,,,,,,,,0.0
FqnLYv7yxK1_thyYy4-6LA|Sushi.com,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
QgSIP6h-l8520965Q1SggQ|The Pint Room,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
7TEVMT_OSbv-Z8U1zE5tvA|Chile Verde,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0
MrO_IRq84esMzfQyEkVRPA|McDonald's,1.0,1.0,,0.0,,,,,
6ZdYMQ7wZZ5rSkGH7Ig88A|Red Lobster,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,
R0F2ywyPwSoYV9SSygNZyQ|Tim Hortons,1.0,1.0,0.0,0.0,0.0,,,,0.0
Yd2KZdBEIgyaamJSXLvmjQ|Don Tequila,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
TWEYELsLP__SFBFeKNIAKA|Gahanna Pizza Plus,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0
WI1mQmUaRgt35ci0XanB1Q|Fox in the Snow Cafe,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ql8XraYEBhhdee6OBtZQVg|Wingstop,1.0,1.0,1.0,0.0,,,0.0,0.0,0.0
w8_PE5iGflWGfv0OLupaQg|Dicarlo's Pizza - Hilliard,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
ajvmZy46O7QudkszjJq0ZQ|The Other Guy Pizza,,,,0.0,,,,,0.0
yOqeYUyC4kasomDpjgGRkw|El Burrito Loco,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
xfxF-sy0zR2ICmkzz3Khiw|Donatos Pizza,1.0,1.0,0.0,0.0,1.0,,,,0.0
2E7JmL_jzDM7XPxItPuHBA|Panera Bread,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
riJvhtBjJt_UuNVXL1EffA|M & M Chicken & Fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
LBYLcrcH6aAliVIlGUddyA|Ponderosa Steak House,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,
NZefTE5qCBimlOKPWwNAJg|Long John Silver's,1.0,1.0,,0.0,0.0,0.0,,,0.0
q5EE0fhtcHFcoY0lKy5PXA|Chipotle Mexican Grill,1.0,0.0,1.0,0.0,,,0.0,0.0,0.0
-LRz5_1fAsLOD3znnipYOQ|Cafe Elena,,,,1.0,0.0,1.0,,,
JOW9IzQO-6TWZE_htO7QAw|Noodles & Company,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0
qBZ_sFOXjjGmch1gS64iJw|Rambling House Soda Pop,0.0,1.0,0.0,0.0,1.0,,,,3.0
FHIeS8Pm2QneiEhPkKxCEQ|Sweet Carrot,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0
OtY2kkYpM3tMLN_2Nbfjng|Popeyes Louisiana Kitchen,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0
kBf238Du-VUZiPwBD48Ccg|Wendy's,1.0,1.0,1.0,0.0,,,0.0,0.0,0.0
Bk6wthdB3EwYU2barJQh5A|Firehouse Subs,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
dHCMosHTm31ApkwUYAvDDg|Do2 Sabores,1.0,,,0.0,,,0.0,0.0,
n-yw1FfAnXZzL3Uce7DodQ|Tai's Asian Bistro,1.0,1.0,,0.0,1.0,,1.0,1.0,1.0
cqAN7W081l_6lqDnx9gp4Q|K House,,,0.0,1.0,,1.0,,,
tEwk7uR9qt7sq6IRIyU_lw|Shirkys Pizza Zone,1.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0
u6OChsa10EkSGCN3_W0_fg|Chick-fil-A,1.0,1.0,0.0,0.0,,,,,
exoKnBJLHT_QLxAxPVHuDw|Au Bon Pain,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NpUCIEj6uKexrylTjuL6MQ|Subway,1.0,1.0,,0.0,,,,,0.0
ssGG38E2Fi_v4oGsfBHhew|Red Lobster,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0
Tz5LSGFHjDyFShIBFYSMKA|Panera Bread,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
hYsWixoOK718LpVsw0WLSQ|Puerto Vallarta,,,,,,,,,0.0
gPey6VwxC035gkWOJkSUqQ|The Hickory House,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Z0joqc5dx_jViifGHea8yg|Cushions Billiards & Lounge,,1.0,1.0,0.0,1.0,,,,1.0
6h4NyoV8geX_aakYKXjoHQ|Novak's Tavern & Patio,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
a8NmDzCDPnRHLm27AaBOkw|Wendy's,1.0,1.0,0.0,0.0,0.0,,,,0.0
38Q1lHLw5MV1JXOvJ2KGyg|Sakana Sushi Asian Fusion,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,
9CHfCICGflfZr1icnaqg-w|Aladdin's Eatery - Worthington,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
d0fOQvI79OMss1dbGUSk2g|Angry Wiener,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MzJXPxAigAR-4eE60lvMDA|Oak Grove Tavern,,1.0,1.0,0.0,1.0,,,,0.0
8IpWfSlJ6YDTUU0AYBBl2Q|BJ's Restaurant & Brewhouse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Pc7VpknqKthFBP-IeTgCCQ|Minelli's Restaurant & Pizza Carry Out,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,1.0
gjh0DDU_dD8nmPAyvTKeSw|Local Cantina,,,1.0,,1.0,1.0,0.0,0.0,
BUax25BhX2tqser9O_dm5Q|The Dinner Detective,0.0,1.0,0.0,1.0,1.0,1.0,,,0.0
KXNchvI0b9siV9MDU1vaqQ|Sapporo Sushi Factory,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0
TToJGx2YrqyYcd8GOs7Crw|Tim Hortons,,,1.0,,,,,,
OpVZKrMMsZluYy7okzGPcw|Mi Li Cafe,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0
jQ8DW4cwE4LewN_cLpEX2w|Hyderabad House Biryani Place,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
hc3rX9jw-Zqc1XuGX2lHUw|Pacific Eatery and Catering,1.0,1.0,0.0,0.0,1.0,,1.0,1.0,3.0
DjQ7OlArf4FnnAR4zwnSnQ|King Gyros Greek Restaurant,1.0,1.0,1.0,0.0,1.0,,,1.0,1.0
b-xxg9EkgFtd_QcKUFv-cA|Tommy's Pizza,1.0,1.0,0.0,0.0,1.0,,1.0,1.0,1.0
ikQV8EBdY10kJOnsNjF74A|Wexner Center For the Arts,1.0,1.0,,0.0,0.0,,,,
C1YMPlt319jqZyg0qmo2kw|Stoney's Pizza & Market,0.0,0.0,0.0,0.0,1.0,,,,2.0
smmzqXW0GsFnpxBCzOoDtQ|Brew-Stirs Pub,,1.0,1.0,0.0,1.0,,,,
n66bQa1ch-LYnty4lgG61Q|Dairy Queen,,,1.0,,,,0.0,0.0,0.0
jajpA0W-biud_7bZBUsAuQ|Flyers Pizza & Subs,1.0,1.0,0.0,1.0,0.0,,0.0,0.0,2.0
siUVnq_GhPP0kehIBSPcaA|Golden China Express,1.0,1.0,0.0,0.0,,,,,0.0
j8XKckVpfg87YInaANNpcQ|Joey Chang's,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0
AxpIPXBj6ACqdm8cbPN3SQ|Family Garden,1.0,1.0,0.0,0.0,0.0,,,,
UdJ452gSkPVyf55zsWFfGw|One Line Coffee - Short North,,,0.0,,0.0,,,,
Mu0BqiJ9G7-39gq46Dw7TA|Lashish the Greek,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
w00S4Doi3rCiWGxKsY1tew|Starbucks,,,0.0,,,,,,
C6Ky1pfKWEbykvwgNVMk2A|McDonald's,1.0,1.0,1.0,0.0,0.0,,,,1.0
iRk6W68B2LDZTUkKNmyngw|The Mad Greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
JURliKiAMLTRKB2Kv5riwA|Wendy's,1.0,1.0,0.0,0.0,0.0,,,,0.0
KlTa0xwa2sw3XFk2MLdCAg|El Huarache Veloz,1.0,0.0,0.0,0.0,,,,,0.0
MwgvfibGQVNuiDm53kmFaw|Raising Cane's Chicken Fingers,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0
9Fp3lIAf_Xxh-l8Wv1t2HA|Olive Garden Italian Restaurant,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
TgT_5CdqQJop2WVpnuD6lQ|Barrel & Boar Creekside,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
X6GH3EHv0XXJsXfcJ6Auqg|Bob Evans,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
RTqGGtssya-Z1zRMl1m_SA|Brothers Drake Meadery,0.0,1.0,1.0,1.0,1.0,,,,3.0
n537DS8CnER32GNA7p9INg|Awadh India Restaurant,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
Q6g7UhjLo-tXdsFcIhZ8-w|KFC,,0.0,,,,,0.0,0.0,0.0
F_HGHvp8iggHeLuYTrNT3Q|Taco Bell,0.0,1.0,0.0,0.0,0.0,,,,0.0
R2LlkhQTQfBmPOxCKEdsPQ|The Juice Bar Health Food Restaurant,1.0,0.0,0.0,0.0,0.0,,,,
YbYgaRPcUAT7tMf6KgrXHQ|Burnzie's Old Trail,0.0,1.0,,0.0,1.0,1.0,,,
l09JKRutMJni97fr_qQeUw|Arby's,1.0,1.0,0.0,,0.0,,0.0,0.0,0.0
CrBjMue1txuPddSav_rhzA|Molly Woo's,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0
AzzlLJn6yDHHAUiWSMOUAg|Jason's Deli,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
jh1-YOilfAckkSuq_rF33g|Neighbor's Deli,1.0,1.0,,0.0,0.0,,0.0,1.0,1.0
BCdGg22JDmWM20a8O9Bcwg|Domino's Pizza,,,,,,,0.0,0.0,0.0
o40-bbrWZvGqki-iuIwYdw|Burger King,1.0,1.0,,0.0,,0.0,0.0,0.0,
a_9MGNgqcRGN6yBUSaY4ww|Skully's Music-Diner,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,3.0
1brHQ1fQnU9bnkK0xAy1sQ|Dunkin',,,0.0,,,,,,
eZbZQxp2T--9gItO7y2Gfw|Plain City Lanes,1.0,1.0,0.0,1.0,1.0,,,1.0,0.0
szDWhZlydugi_udTQCG8Mg|Condado Tacos,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0
lN30W40MFDh_UcEX1vXGtw|Mohio Pizza,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0
v24Dy_4d0yx78pJ8b4uGcA|Pizza Hut,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0
_Pw7JW0YkoJ7QAlhzGuvaQ|The Original Pancake House,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
ceDSpjpmbw9X5MM0I-lkcg|Wendy's,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
X0IaOQFM1sLPHziNbD4dqA|Vine + Forge,,,1.0,,1.0,,,,
-f1MkBhdZZoa50BhAib4UQ|Los Galapagos,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2TDR7cJDYenS_wHLaxPI1Q|6-1-Pho,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
IKzU2ZozXDFoyxSSHF9ITA|Papa John's Pizza,1.0,,0.0,0.0,,,,,
lvwTMI9XEoqHc_UxC0rE6Q|City Tavern,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Hp9buzAPpgY0Ioibu2Nj5A|Cafe Bistro,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
iXjbGUI9p7tmJxcX-0kpXA|Flyers Pizza & Subs,1.0,1.0,0.0,0.0,0.0,,1.0,,1.0
NQD7YeQROsD_imrQEscH9g|Gokul Cafe,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
BgZ_dVG9I4qQCFv8nOFT_g|Seventh Son Brewing,,1.0,1.0,0.0,1.0,,,,1.0
i2GeAZUceFBR6ERfQl8IwQ|Chipotle Mexican Grill,1.0,1.0,1.0,0.0,1.0,,,,1.0
n0elRo8l89L__9iqyFXJWw|The Pearl,,,,1.0,,,,,2.0
CJiGIQMEbY-gri_Z8CZB2Q|Daruma Japanese Steakhouse,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
1YAaXZjHxvCRjFq9fRIxgQ|Papa John's Pizza,0.0,0.0,,0.0,,,,,
_ZitdnE0rEb88P7JfWdOmA|Happy Dragon,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,3.0
SojeKJdtq-4rdtYDhj_C1w|Sazon Latin Street Food,1.0,0.0,,0.0,,,,1.0,
3bFGNDJiO2xpaGaSkuBpMQ|Tim Hortons,1.0,1.0,,0.0,0.0,,0.0,0.0,0.0
4WMU8XRVF2E427fd6lzIog|Genjigo,1.0,0.0,0.0,0.0,0.0,0.0,,,1.0
blCnD9dKtQEIHMR2I1UwMA|Tanuki,1.0,1.0,0.0,1.0,1.0,,1.0,,1.0
_NzjZsexEl3-kCGu17-0BA|First Watch,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
P0WjSyL-E53e_CyYHvMCMw|Max & Erma's,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
RcP7HznJW4QVH5t-uTgiYQ|Great Harvest Bread,,,0.0,,0.0,0.0,0.0,0.0,0.0
V1OsYJpu0MaRo0zhHm7prg|Marco's Pizza,1.0,1.0,0.0,0.0,0.0,,,1.0,
CHzHQArew7m7R07Vk-suPQ|Harrison's on Third,,1.0,1.0,0.0,1.0,,,,1.0
5t8tugcXM0ovMrgQPuWd9A|A Matter of Steak,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
Lc8pu2FkQ3PXzruA-2KoYA|Somewhere in Particular Brewing,,1.0,,,1.0,,,,0.0
NxGcJOYW5rhGugc--7M3NA|Shirley's Gourmet Popcorn Company,,,,,0.0,,0.0,0.0,
MyZWewrrnyvGwXEz4OPDtw|Donatos Pizza,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0
Rd9RfJiJkHn4yBHjlqR9Pg|Boston Stoker Coffee Co.,1.0,,1.0,,,,,,
UF14-LP1ZjY4mntD_NCU9w|Cottage Inn Pizza,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,1.0
elTAt0mfihiQO0XWkv6EiQ|Crowne Plaza Columbus-Downtown,,,1.0,1.0,1.0,,,,
Qfpd7GVXt7VQzIxiolyzgw|Yogi's Bar & Grill,,,1.0,,1.0,,,,0.0
Nk2mnfoiSbM85iW0cAFpsw|Bonefish Grill,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,2.0
ku6PeWFZDsx31aXgllHhXw|The Ohio Taproom,,1.0,1.0,0.0,1.0,,,,0.0
AJ7nRNAUuevBw0uorZSvxQ|Moy's Restaurant,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0
zB92TkWaF2BVT8Kp-ARGlw|Barnes & Noble,1.0,,,,,,,,
4hM22klxyoTT_fSf91wEkQ|Dolphin Lounge,,1.0,1.0,0.0,1.0,,,,0.0
1Aa1jYmXCNvY9F1ZToDeAw|Sbarro,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
CM-GoJwqUEVkN2KDETWh9w|McClellan's Pub,,1.0,1.0,0.0,1.0,,,,
F1tE88N0xM7wuqO6MBxOxQ|Penn Station,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
7DU3s49hQ-afhBPJPo9e2Q|Subway,1.0,0.0,,0.0,,,0.0,0.0,
i4YPpmtUfkQSCNu1T7aZYA|Denny's,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0
ySKeh04EcblgCXcv0ycXdQ|The Pine Room Restaurant,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
m6XOt4fZ7MP8xSV5IvD28Q|Denny's,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
vRack-BmGAUunG5A02pyJw|Taco Bell,1.0,1.0,0.0,0.0,0.0,,,,
TQdVPkxMr7LCFNTGvk7yBw|McDonald's,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
x-0DRj56i8M78Uc9hCLwDQ|Panda Express,,,,,,,,,0.0
oYyKVMnKH-fXl58JNSO30Q|Dairy Queen,,,1.0,,,,0.0,0.0,0.0
DMlvZQXNxF31-8TiR488Zw|Rossi Bar And Kitchen,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0
LJOmdqtVShzdqRi7rTab2Q|The Market Italian Village,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
EZ9dviUVGxcx2MTgX8d-pw|Tabletop Game Cafe,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
dv_PbIouGOmNjQJvLAe7Lg|Local Cantina - Gahanna,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pNn6clJY1lm0MBdjGJIv0g|Station House 81,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0.0
TUMyi2RzRR52359YplCk7Q|Cardinal Pizza,,,0.0,0.0,1.0,,0.0,0.0,
0PwEAzQYiKj_YqFaceFqlg|Bawarchi Biryanis,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
2LGFIvRU4qp8gS9yzoIrMA|Silk Road Asian Cuisine,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,
1fm7lRWfVqtaaAi5WcxIMg|Redwood Wagon,,,1.0,0.0,0.0,,,,0.0
GFHOkf4upn9OltAsvYl9qw|Buckeye BBQ Express,1.0,,,,0.0,0.0,,,0.0
4cZnCslKxqXglpAve_3zqg|Shadowbox Live,0.0,1.0,0.0,,1.0,,,,3.0
-x1txWSEsBG38hMHOTTAPg|Chipotle Mexican Grill,1.0,0.0,,0.0,,,0.0,0.0,2.0
0FmC1KpO8j0CHyc16JTDXg|Craft & Vinyl,,1.0,,0.0,,,,,0.0
vZMHV1zGtBu9FuW01DipEg|Creekside Grill,,,,0.0,,,,,
